Frequency,APSD,sd
93068.8,1.47976e-07,7.80008e-10
93072,1.4757e-07,7.77897e-10
93075.2,1.4786e-07,7.7942e-10
93078.4,1.47753e-07,7.78874e-10
93081.6,1.46761e-07,7.73609e-10
93084.8,1.47425e-07,7.77123e-10
93088,1.4736e-07,7.76753e-10
93091.2,1.4752e-07,7.776e-10
93094.4,1.48983e-07,7.85315e-10
93097.6,1.48376e-07,7.82145e-10
93100.8,1.4775e-07,7.78923e-10
93104,1.47631e-07,7.78259e-10
93107.2,1.47678e-07,7.78391e-10
93110.4,1.49214e-07,7.86517e-10
93113.6,1.48032e-07,7.80355e-10
93116.8,1.45576e-07,7.67331e-10
93120,1.47744e-07,7.78801e-10
93123.2,1.49892e-07,7.90083e-10
93126.4,1.49674e-07,7.88988e-10
93129.6,1.47588e-07,7.78076e-10
93132.8,1.48698e-07,7.8387e-10
93136,1.48837e-07,7.84557e-10
93139.2,1.47169e-07,7.75708e-10
93142.4,1.46555e-07,7.72505e-10
93145.6,1.48837e-07,7.84481e-10
93148.8,1.49007e-07,7.85427e-10
93152,1.4758e-07,7.77878e-10
93155.2,1.47442e-07,7.77215e-10
93158.4,1.47709e-07,7.78685e-10
93161.6,1.48355e-07,7.8202e-10
93164.8,1.48747e-07,7.84141e-10
93168,1.489e-07,7.84894e-10
93171.2,1.48482e-07,7.82749e-10
93174.4,1.4831e-07,7.81791e-10
93177.6,1.47639e-07,7.78188e-10
93180.8,1.47799e-07,7.79036e-10
93184,1.47488e-07,7.77547e-10
93187.2,1.4767e-07,7.78427e-10
93190.4,1.48206e-07,7.81243e-10
93193.6,1.48259e-07,7.81565e-10
93196.8,1.48222e-07,7.81438e-10
93200,1.48502e-07,7.82815e-10
93203.2,1.47806e-07,7.79056e-10
93206.4,1.48005e-07,7.8012e-10
93209.6,1.48123e-07,7.80918e-10
93212.8,1.4754e-07,7.77703e-10
93216,1.49877e-07,7.9005e-10
93219.2,1.4901e-07,7.85473e-10
93222.4,1.47606e-07,7.78119e-10
93225.6,1.48278e-07,7.81625e-10
93228.8,1.48522e-07,7.82892e-10
93232,1.48301e-07,7.81685e-10
93235.2,1.48278e-07,7.81647e-10
93238.4,1.46564e-07,7.72619e-10
93241.6,1.48819e-07,7.84407e-10
93244.8,1.47577e-07,7.78034e-10
93248,1.47505e-07,7.77558e-10
93251.2,1.48538e-07,7.83015e-10
93254.4,1.48266e-07,7.8162e-10
93257.6,1.4809e-07,7.80662e-10
93260.8,1.48541e-07,7.82969e-10
93264,1.48871e-07,7.84724e-10
93267.2,1.48972e-07,7.85312e-10
93270.4,1.46879e-07,7.74219e-10
93273.6,1.4729e-07,7.76424e-10
93276.8,1.4844e-07,7.82555e-10
93280,1.47839e-07,7.79357e-10
93283.2,1.48608e-07,7.83409e-10
93286.4,1.47546e-07,7.77778e-10
93289.6,1.47877e-07,7.796e-10
93292.8,1.48651e-07,7.83733e-10
93296,1.47459e-07,7.77379e-10
93299.2,1.47137e-07,7.75553e-10
93302.4,1.47287e-07,7.76318e-10
93305.6,1.48318e-07,7.81827e-10
93308.8,1.48163e-07,7.81066e-10
93312,1.48049e-07,7.80367e-10
93315.2,1.47368e-07,7.7678e-10
93318.4,1.46778e-07,7.73767e-10
93321.6,1.47508e-07,7.77604e-10
93324.8,1.48061e-07,7.80518e-10
93328,1.475e-07,7.77496e-10
93331.2,1.47758e-07,7.7882e-10
93334.4,1.4811e-07,7.80729e-10
93337.6,1.48592e-07,7.83252e-10
93340.8,1.46583e-07,7.72717e-10
93344,1.46782e-07,7.73758e-10
93347.2,1.47701e-07,7.78687e-10
93350.4,1.48258e-07,7.81562e-10
93353.6,1.47696e-07,7.78481e-10
93356.8,1.48883e-07,7.84786e-10
93360,1.49147e-07,7.86201e-10
93363.2,1.48049e-07,7.80426e-10
93366.4,1.48174e-07,7.81133e-10
93369.6,1.47353e-07,7.76845e-10
93372.8,1.47675e-07,7.78396e-10
