Frequency,APSD,sd
3526.4,3.1469e-08,4.50103e-11
3529.6,3.15256e-08,4.50934e-11
3532.8,3.14086e-08,4.4926e-11
3536,3.1436e-08,4.49628e-11
3539.2,3.14038e-08,4.49186e-11
3542.4,3.13785e-08,4.48835e-11
3545.6,3.13653e-08,4.48631e-11
3548.8,3.13638e-08,4.48603e-11
3552,3.14067e-08,4.49209e-11
3555.2,3.13406e-08,4.48278e-11
3558.4,3.13623e-08,4.48597e-11
3561.6,3.14572e-08,4.49935e-11
3564.8,3.14288e-08,4.49534e-11
3568,3.14125e-08,4.49307e-11
3571.2,3.14319e-08,4.49583e-11
3574.4,3.13882e-08,4.48956e-11
3577.6,3.13421e-08,4.48294e-11
3580.8,3.14497e-08,4.49819e-11
3584,3.15043e-08,4.50598e-11
3587.2,3.13567e-08,4.48494e-11
3590.4,3.13171e-08,4.47935e-11
3593.6,3.13407e-08,4.48282e-11
3596.8,3.13509e-08,4.48425e-11
3600,3.13528e-08,4.48447e-11
3603.2,3.14228e-08,4.49455e-11
3606.4,3.14285e-08,4.49534e-11
3609.6,3.1404e-08,4.49196e-11
3612.8,3.14398e-08,4.49683e-11
3616,3.13477e-08,4.48357e-11
3619.2,3.13217e-08,4.48016e-11
3622.4,3.13714e-08,4.48714e-11
3625.6,3.13929e-08,4.49029e-11
3628.8,3.13276e-08,4.48091e-11
3632,3.13533e-08,4.48464e-11
3635.2,3.13666e-08,4.48627e-11
3638.4,3.14737e-08,4.50166e-11
3641.6,3.14581e-08,4.49958e-11
3644.8,3.14493e-08,4.49819e-11
3648,3.142e-08,4.49404e-11
3651.2,3.14144e-08,4.49341e-11
3654.4,3.14089e-08,4.4926e-11
3657.6,3.14716e-08,4.50161e-11
3660.8,3.14921e-08,4.50441e-11
3664,3.13916e-08,4.48997e-11
3667.2,3.13497e-08,4.48411e-11
3670.4,3.13375e-08,4.48238e-11
3673.6,3.13056e-08,4.47786e-11
3676.8,3.14417e-08,4.49702e-11
3680,3.144e-08,4.49693e-11
3683.2,3.13868e-08,4.48926e-11
3686.4,3.14786e-08,4.50239e-11
3689.6,3.14504e-08,4.49847e-11
3692.8,3.14135e-08,4.49308e-11
3696,3.13965e-08,4.49072e-11
3699.2,3.13688e-08,4.48681e-11
3702.4,3.13385e-08,4.48259e-11
3705.6,3.13828e-08,4.48882e-11
3708.8,3.13901e-08,4.48994e-11
3712,3.14364e-08,4.49649e-11
3715.2,3.14231e-08,4.49453e-11
3718.4,3.13883e-08,4.48952e-11
3721.6,3.13505e-08,4.48422e-11
3724.8,3.13246e-08,4.48047e-11
3728,3.1456e-08,4.49928e-11
3731.2,3.1371e-08,4.48703e-11
3734.4,3.12837e-08,4.47452e-11
3737.6,3.13411e-08,4.48279e-11
3740.8,3.13428e-08,4.48302e-11
3744,3.13399e-08,4.48263e-11
3747.2,3.14074e-08,4.49232e-11
3750.4,3.14471e-08,4.49787e-11
3753.6,3.13867e-08,4.48935e-11
3756.8,3.13667e-08,4.48656e-11
3760,3.1433e-08,4.49595e-11
3763.2,3.13798e-08,4.48846e-11
3766.4,3.1336e-08,4.48221e-11
3769.6,3.13536e-08,4.48482e-11
3772.8,3.14327e-08,4.49601e-11
3776,3.15059e-08,4.50603e-11
3779.2,3.14367e-08,4.49637e-11
3782.4,3.14224e-08,4.49437e-11
3785.6,3.13459e-08,4.48356e-11
3788.8,3.13296e-08,4.48113e-11
3792,3.13442e-08,4.4833e-11
3795.2,3.13376e-08,4.48232e-11
3798.4,3.1427e-08,4.49509e-11
3801.6,3.14363e-08,4.49656e-11
3804.8,3.14598e-08,4.49988e-11
3808,3.14781e-08,4.50281e-11
3811.2,3.13975e-08,4.49092e-11
3814.4,3.14274e-08,4.49538e-11
3817.6,3.14014e-08,4.49142e-11
3820.8,3.1415e-08,4.49356e-11
3824,3.14142e-08,4.49346e-11
3827.2,3.13791e-08,4.48821e-11
3830.4,3.13592e-08,4.48548e-11
3833.6,3.13358e-08,4.4821e-11
3836.8,3.13917e-08,4.49003e-11
3840,3.1398e-08,4.49087e-11
3843.2,3.14448e-08,4.49761e-11
3846.4,3.14193e-08,4.49396e-11
3849.6,3.14007e-08,4.49129e-11
3852.8,3.1357e-08,4.48512e-11
3856,3.1382e-08,4.48856e-11
3859.2,3.13807e-08,4.48835e-11
3862.4,3.13842e-08,4.48921e-11
3865.6,3.14583e-08,4.49978e-11
3868.8,3.14333e-08,4.496e-11
3872,3.13967e-08,4.49082e-11
3875.2,3.13956e-08,4.49075e-11
3878.4,3.14657e-08,4.5006e-11
3881.6,3.13951e-08,4.49051e-11
3884.8,3.14245e-08,4.49473e-11
3888,3.14645e-08,4.50043e-11
3891.2,3.14266e-08,4.49502e-11
3894.4,3.14327e-08,4.49592e-11
3897.6,3.14176e-08,4.49377e-11
3900.8,3.14534e-08,4.4988e-11
3904,3.14344e-08,4.49606e-11
3907.2,3.14656e-08,4.50069e-11
3910.4,3.14433e-08,4.49743e-11
3913.6,3.13367e-08,4.48219e-11
3916.8,3.13334e-08,4.48182e-11
3920,3.14734e-08,4.5019e-11
3923.2,3.1496e-08,4.50491e-11
3926.4,3.14099e-08,4.49253e-11
3929.6,3.141e-08,4.49262e-11
3932.8,3.13937e-08,4.49046e-11
3936,3.13146e-08,4.47897e-11
3939.2,3.13708e-08,4.48705e-11
3942.4,3.13611e-08,4.48569e-11
3945.6,3.14362e-08,4.49638e-11
3948.8,3.14342e-08,4.49618e-11
3952,3.13773e-08,4.48813e-11
3955.2,3.13716e-08,4.4872e-11
3958.4,3.14102e-08,4.49262e-11
3961.6,3.13428e-08,4.48294e-11
3964.8,3.13585e-08,4.48516e-11
3968,3.13984e-08,4.49097e-11
3971.2,3.13682e-08,4.48654e-11
3974.4,3.13915e-08,4.4899e-11
3977.6,3.14196e-08,4.49412e-11
3980.8,3.14379e-08,4.497e-11
3984,3.1459e-08,4.49973e-11
3987.2,3.13958e-08,4.49059e-11
3990.4,3.13244e-08,4.48043e-11
3993.6,3.13429e-08,4.48285e-11
3996.8,3.1382e-08,4.48846e-11
4000,3.1404e-08,4.49175e-11
4003.2,3.13606e-08,4.48554e-11
4006.4,3.13472e-08,4.48369e-11
4009.6,3.14517e-08,4.49858e-11
4012.8,3.14966e-08,4.50506e-11
4016,3.14446e-08,4.49764e-11
4019.2,3.143e-08,4.49557e-11
4022.4,3.14743e-08,4.50191e-11
4025.6,3.14419e-08,4.4974e-11
4028.8,3.13882e-08,4.48944e-11
4032,3.13562e-08,4.48506e-11
4035.2,3.14025e-08,4.49179e-11
4038.4,3.13685e-08,4.48692e-11
4041.6,3.13088e-08,4.47822e-11
4044.8,3.1345e-08,4.48353e-11
4048,3.13533e-08,4.48466e-11
4051.2,3.13365e-08,4.48217e-11
4054.4,3.13369e-08,4.48217e-11
4057.6,3.14313e-08,4.49561e-11
4060.8,3.14074e-08,4.49218e-11
4064,3.1366e-08,4.48646e-11
4067.2,3.13553e-08,4.48489e-11
4070.4,3.13153e-08,4.47901e-11
4073.6,3.13648e-08,4.48627e-11
4076.8,3.14081e-08,4.4924e-11
4080,3.13955e-08,4.49062e-11
4083.2,3.1377e-08,4.48777e-11
4086.4,3.13187e-08,4.47948e-11
4089.6,3.13188e-08,4.47951e-11
4092.8,3.13303e-08,4.48113e-11
4096,3.14055e-08,4.49215e-11
4099.2,3.14503e-08,4.49855e-11
4102.4,3.1368e-08,4.4867e-11
4105.6,3.13608e-08,4.48558e-11
4108.8,3.1342e-08,4.4828e-11
4112,3.13868e-08,4.48931e-11
4115.2,3.14028e-08,4.4917e-11
4118.4,3.13238e-08,4.48024e-11
4121.6,3.13631e-08,4.48595e-11
4124.8,3.13444e-08,4.48323e-11
4128,3.13652e-08,4.4864e-11
4131.2,3.13946e-08,4.4904e-11
4134.4,3.1341e-08,4.4828e-11
4137.6,3.13737e-08,4.4874e-11
4140.8,3.13643e-08,4.48613e-11
